scientific_name,mass_g
Aeronautes saxatalis,32.1
Aethia cristatella,259.4
Aethia psittacula,270.0
Aethia pusilla,84.0
Aethia pygmaea,112.0
Aethopyga bella,4.0
Aethopyga boltoni,7.1
Aethopyga christinae,5.2
Aethopyga decorosa,5.6
Aethopyga duyvenbodei,6.0
Aethopyga eximia,5.2
Aethopyga flagrans,6.7
Aethopyga gouldiae,5.0
Aethopyga guimarasensis,6.7
Aethopyga ignicauda,8.2
Aethopyga jefferyi,6.7
Aethopyga linaraborae,7.2
Aethopyga magnifica,9.3
Aethopyga mystacalis,6.0
Aethopyga nipalensis,6.9
Aethopyga primigenia,7.0
Aethopyga pulcherrima,6.2
Aethopyga saturata,5.3
Aethopyga shelleyi,4.0
Aethopyga siparaja,6.7
Aethopyga temminckii,6.0
Aethopyga tibolii,6.3
Aethopyga vigorsii,6.7
Afropavo congensis,1273.7
Agamia agami,567.0
Agapornis canus,30.0
Agapornis fischeri,48.3
Agapornis lilianae,37.3
Agapornis nigrigenis,40.5
Agapornis personatus,52.4
Agapornis pullarius,39.3
Agapornis roseicollis,53.8
Agapornis swindernianus,40.0
Agapornis taranta,57.5
Agelaioides badius,45.3
Agelaioides fringillarius,45.3
Agelaius assimilis,47.7
Agelaius humeralis,36.3
Agelaius phoeniceus,50.8
Agelaius tricolor,57.9
Agelaius xanthomus,38.4
Agelastes meleagrides,815.0
Agelastes niger,700.0
Agelasticus cyanopus,37.2
Agelasticus thilius,31.5
Agelasticus xanthophthalmus,45.1
Aglaeactis aliciae,7.0
Aglaeactis castelnaudii,6.7
Aglaeactis cupripennis,7.6
Aglaeactis pamela,5.5
Aglaiocercus berlepschi,5.0
Aglaiocercus coelestis,5.6
Aglaiocercus kingii,4.8
Agraphospiza rubescens,19.0
Agricola infuscatus,32.4
Agricola pallidus,23.6
Agriornis albicauda,53.0
Agriornis lividus,99.1
Agriornis micropterus,67.8
Agriornis montanus,63.3
Agriornis murinus,29.9
Agropsar philippensis,28.8
Agropsar sturninus,49.4
Aidemosyne modesta,12.7
Ailuroedus arfakianus,176.9
Ailuroedus astigmaticus,176.9
Ailuroedus buccoides,138.0
Ailuroedus crassirostris,205.3
Ailuroedus geislerorum,138.0
Ailuroedus jobiensis,176.9
Ailuroedus maculosus,205.3
Ailuroedus melanocephalus,205.3
Ailuroedus melanotis,176.9
Ailuroedus stonii,138.0
Aimophila notosticta,27.1
Aimophila rufescens,34.3
Aimophila ruficeps,18.7
Aix galericulata,567.0
Aix sponsa,657.6
Akletos goeldii,42.0
Akletos melanoceps,38.5
Alaemon alaudipes,43.7
Alaemon hamertoni,43.7
Alauda arvensis,37.3
Alauda gulgula,26.3
Alauda leucoptera,45.3
Alauda razae,21.9
Alaudala cheleensis,24.1
Alaudala heinei,24.1
Alaudala raytal,18.5
Alaudala rufescens,24.1
Alaudala somalica,24.1
Alca torda,726.0
Alcedo atthis,31.1
Alcedo coerulescens,34.9
Alcedo euryzona,43.1
Alcedo hercules,62.5
Alcedo meninting,20.4
Alcedo quadribrachys,34.9
Alcedo semitorquata,47.3
Alcippe brunneicauda,14.3
Alcippe davidi,15.3
Alcippe fratercula,14.8
Alcippe grotei,14.3
Alcippe hueti,15.3
Alcippe morrisonia,15.3
Alcippe nipalensis,15.8
Alcippe peracensis,14.3
Alcippe poioicephala,20.7
Alcippe pyrrhoptera,16.3
Aleadryas rufinucha,40.5
Alectoris barbara,416.3
Alectoris chukar,502.1
Alectoris graeca,594.1
Alectoris magna,541.4
Alectoris melanocephala,614.8
Alectoris philbyi,441.0
Alectoris rufa,527.9
Alectroenas madagascariensis,173.0
Alectroenas pulcherrimus,165.0
Alectroenas sganzini,158.0
Alectrurus risora,21.0
Alectrurus tricolor,16.0
Alectura lathami,2333.1
Alethe castanea,31.5
Alethe diademata,31.5
Alipiopsitta xanthops,159.0
Alisterus amboinensis,153.0
Alisterus chloropterus,156.0
Alisterus scapularis,232.3
Alle alle,180.7
Allenia fusca,67.1
Alopecoenas beccarii,78.7
Alopecoenas canifrons,135.0
Alopecoenas erythropterus,113.2
Alopecoenas hoedtii,135.0
Alopecoenas jobiensis,135.0
Alopecoenas kubaryi,162.0
Alopecoenas rubescens,60.0
Alopecoenas sanctaecrucis,171.0
Alopecoenas stairi,171.0
Alopecoenas xanthonurus,110.6
Alophoixus affinis,40.5
Alophoixus aureus,40.5
Alophoixus bres,35.3
Alophoixus chloris,40.5
Alophoixus finschii,24.2
Alophoixus flaveolus,48.3
Alophoixus frater,44.8
Alophoixus longirostris,40.5
Alophoixus lucasi,40.5
Alophoixus mystacalis,40.5
Alophoixus ochraceus,41.5
Alophoixus pallidus,46.0
Alophoixus phaeocephalus,32.0
Alophoixus platenae,40.5
Alophoixus ruficrissus,41.5
Alophoixus tephrogenys,35.3
Alopochelidon fucata,14.0
Alopochen aegyptiaca,1873.0
Amadina erythrocephala,22.5
Amadina fasciata,18.0
Amalocichla incerta,32.7
Amalocichla sclateriana,54.7
Amandava amandava,9.0
Amandava formosa,9.0
Amandava subflava,7.4
Amaurolimnas concolor,133.0
Amaurornis isabellina,180.0
Amaurornis magnirostris,250.0
Amaurornis marginalis,51.2
Amaurornis moluccana,186.8
Amaurornis olivacea,292.0
Amaurornis phoenicurus,180.0
Amaurospiza carrizalensis,13.6
Amaurospiza concolor,13.6
Amaurospiza moesta,13.6
Amazilia boucardi,4.5
Amazilia luciae,4.5
Amazilia rutila,5.2
Amazilia tzacatl,4.8
Amazilia yucatanensis,3.9
Amazilis amazilia,4.3
Amazona aestiva,451.0
Amazona agilis,213.0
Amazona albifrons,206.0
Amazona amazonica,370.0
Amazona arausiaca,500.0
Amazona auropalliata,476.9
Amazona autumnalis,416.0
Amazona barbadensis,270.0
Amazona brasiliensis,430.0
Amazona collaria,187.0
Amazona dufresniana,623.0
Amazona farinosa,626.0
Amazona festiva,430.0
Amazona finschi,302.0
Amazona guildingii,646.0
Amazona imperialis,529.5
Amazona kawalli,626.0
Amazona leucocephala,235.3
Amazona mercenarius,340.0
Amazona ochrocephala,476.9
Amazona oratrix,476.9
Amazona pretrei,272.8
Amazona rhodocorytha,474.3
Amazona tucumana,260.0
Amazona ventralis,214.0
Amazona versicolor,676.0
Amazona vinacea,254.0
Amazona viridigenalis,316.0
Amazona vittata,279.3
Amazona xantholora,217.0
Amazonetta brasiliensis,500.0
Amblycercus holosericeus,70.4
Amblyornis flavifrons,120.0
Amblyornis inornata,124.0
Amblyornis macgregoriae,117.5
Amblyornis newtoniana,78.3
Amblyornis subalaris,108.9
Amblyospiza albifrons,41.6
Amblyramphus holosericeus,56.8
Ammodramus aurifrons,17.8
Ammodramus humeralis,16.0
Ammodramus savannarum,17.6
Ammomanes cinctura,18.1
Ammomanes deserti,23.8
Ammomanes phoenicura,25.6
Ammomanopsis grayi,21.4
Ammonastes pelzelni,17.7
Ammoperdix griseogularis,201.9
Ammoperdix heyi,189.7
Ammospiza caudacuta,19.2
Ammospiza leconteii,13.0
Ammospiza maritima,22.2
Ammospiza nelsoni,15.1
Ampeliceps coronatus,87.9
Ampelioides tschudii,78.4
Ampelion rubrocristatus,66.3
Ampelion rufaxilla,73.9
Ampelornis griseiceps,15.0
Amphispiza bilineata,13.5
Amphispizopsis quinquestriata,19.5
Amytornis ballarae,21.0
Amytornis barbatus,18.4
Amytornis dorotheae,23.2
Amytornis goyderi,16.7
Amytornis housei,28.9
Amytornis merrotsyi,19.6
Amytornis modestus,23.0
Amytornis purnelli,21.0
Amytornis rowleyi,19.6
Amytornis striatus,19.6
Amytornis textilis,23.0
Amytornis whitei,19.6
Amytornis woodwardi,35.1
Anabacerthia amaurotis,19.2
Anabacerthia lichtensteini,21.0
Anabacerthia ruficaudata,30.1
Anabacerthia striaticollis,24.8
Anabacerthia variegaticeps,27.8
Anabathmis hartlaubii,10.5
Anabathmis newtonii,6.5
Anabathmis reichenbachii,11.4
Anabazenops dorsalis,35.4
Anabazenops fuscus,38.5
Anairetes alpinus,9.0
Anairetes fernandezianus,6.9
Anairetes flavirostris,6.0
Anairetes nigrocristatus,9.2
Anairetes parulus,6.2
Anairetes reguloides,5.9
Analisoma analis,82.4
Analisoma coerulescens,62.8
Analisoma ostenta,68.0
Anaplectes rubriceps,22.6
Anarhynchus frontalis,57.6
Anas acuta,944.6
Anas albogularis,488.1
Anas andium,434.0
Anas aucklandica,499.1
Anas bahamensis,490.0
Anas bernieri,378.5
Anas capensis,402.0
Anas castanea,624.0
Anas chlorotis,499.1
Anas crecca,341.9
Anas diazi,843.4
Anas eatoni,944.6
Anas erythrorhyncha,558.8
Anas flavirostris,434.0
Anas fulvigula,843.4
Anas georgica,623.8
Anas gibberifrons,488.1
Anas gracilis,488.1
Anas laysanensis,843.4
Anas luzonica,832.0
Anas melleri,959.2
Anas nesiotis,499.1
Anas platyrhynchos,843.4
Anas poecilorhyncha,1000.0
Anas rubripes,1241.0
Anas sparsa,981.5
Anas superciliosa,882.8
Anas undulata,1008.0
Anas wyvilliana,843.4
Anas zonorhyncha,1156.0
Anastomus lamelligerus,1081.0
Anastomus oscitans,1590.0
Ancistrops strigilatus,35.9
Andigena cucullata,311.8
Andigena hypoglauca,312.8
Andigena laminirostris,311.0
Andigena nigrirostris,350.0
Androdon aequatorialis,7.3
