scientific_name,mass_g
Cisticola chiniana,16.1
Cisticola chubbi,16.0
Cisticola cinereolus,17.0
Cisticola cinnamomeus,8.0
Cisticola dambo,9.0
Cisticola erythrops,14.8
Cisticola exilis,7.0
Cisticola eximius,12.0
Cisticola fulvicapilla,8.2
Cisticola galactotes,13.1
Cisticola guinea,9.3
Cisticola haematocephalus,13.1
Cisticola haesitatus,6.9
Cisticola hunteri,15.5
Cisticola juncidis,6.8
Cisticola lais,14.8
Cisticola lateralis,16.8
Cisticola luapula,13.1
Cisticola lugubris,13.1
Cisticola marginatus,13.1
Cisticola melanurus,8.7
Cisticola nana,5.0
Cisticola natalensis,16.4
Cisticola nigriloris,19.6
Cisticola njombe,10.9
Cisticola pipiens,13.5
Cisticola restrictus,13.2
Cisticola robustus,18.5
Cisticola ruficeps,9.7
Cisticola rufilatus,11.3
Cisticola rufus,7.3
Cisticola subruficapilla,9.9
Cisticola textrix,10.3
Cisticola tinniens,11.4
Cisticola troglodytes,8.2
Cisticola woosnami,13.5
Cistothorus apolinari,17.7
Cistothorus meridae,9.7
Cistothorus palustris,10.8
Cistothorus platensis,9.0
Cistothorus stellaris,9.0
Cittura cyanotis,147.0
Cladorhynchus leucocephalus,216.0
Clamator coromandus,74.6
Clamator glandarius,143.0
Clamator jacobinus,79.4
Clamator levaillantii,122.0
Clanga clanga,2154.3
Clanga hastata,1359.4
Clanga pomarina,1359.4
Clangula hyemalis,871.0
Claravis pretiosa,68.2
Cleptornis marchei,20.2
Clibanornis dendrocolaptoides,48.2
Clibanornis erythrocephalus,46.5
Clibanornis rectirostris,48.0
Clibanornis rubiginosus,39.8
Clibanornis rufipectus,39.8
Climacteris affinis,21.7
Climacteris erythrops,23.3
Climacteris melanurus,31.9
Climacteris picumnus,28.9
Climacteris rufus,32.6
Clytoceyx rex,242.0
Clytoctantes alixii,32.5
Clytoctantes atrogularis,31.0
Clytolaema rubricauda,7.9
Clytomyias insignis,12.4
Clytorhynchus hamlini,34.6
Clytorhynchus nigrogularis,55.7
Clytorhynchus pachycephaloides,26.3
Clytorhynchus sanctaecrucis,55.7
Clytorhynchus vitiensis,29.2
Clytospiza monteiri,14.9
Cnemarchus erythropygius,41.0
Cnemarchus rufipennis,34.5
Cnemathraupis aureodorsalis,85.0
Cnemathraupis eximia,62.7
Cnemophilus loriae,84.0
Cnemophilus macgregorii,97.9
Cnemoscopus rubrirostris,18.0
Cnemotriccus fuscatus,13.6
Cnipodectes subbrunneus,23.2
Cnipodectes superrufus,32.3
Coccopygia bocagei,6.5
Coccopygia melanotis,6.5
Coccopygia quartinia,6.7
Coccothraustes abeillei,48.5
Coccothraustes coccothraustes,56.6
Coccothraustes vespertinus,57.3
Coccycua cinerea,41.0
Coccycua minuta,39.3
Coccycua pumila,37.1
Coccyzus americanus,64.0
Coccyzus erythropthalmus,50.9
Coccyzus euleri,52.3
Coccyzus ferrugineus,70.0
Coccyzus lansbergi,50.3
Coccyzus longirostris,100.0
Coccyzus melacoryphus,49.7
Coccyzus merlini,169.6
Coccyzus minor,63.9
Coccyzus pluvialis,163.0
Coccyzus rufigularis,128.0
Coccyzus vetula,96.0
Coccyzus vieilloti,81.9
Cochlearius cochlearius,643.2
Cochoa azurea,111.5
Cochoa beccarii,111.5
Cochoa purpurea,103.0
Cochoa viridis,120.0
Coeligena bonapartei,6.5
Coeligena coeligena,6.8
Coeligena helianthea,6.6
Coeligena iris,6.9
Coeligena lutetiae,7.3
Coeligena orina,6.5
Coeligena phalerata,6.1
Coeligena prunellei,7.0
Coeligena torquata,6.7
Coeligena violifer,7.4
Coeligena wilsoni,6.7
Coenocorypha aucklandica,108.2
Coenocorypha huegeli,104.0
Coenocorypha pusilla,80.5
Coereba flaveola,10.0
Colaptes atricollis,76.1
Colaptes auratus,131.5
Colaptes auricularis,65.4
Colaptes campestris,158.0
Colaptes chrysoides,111.0
Colaptes fernandinae,135.0
Colaptes melanochloros,127.3
Colaptes pitius,159.0
Colaptes punctigula,62.0
Colaptes rivolii,102.0
Colaptes rubiginosus,55.8
Colaptes rupicola,174.0
Colibri coruscans,6.7
Colibri cyanotus,5.9
Colibri delphinae,6.4
Colibri serrirostris,6.7
Colibri thalassinus,5.9
Colinus cristatus,134.5
Colinus nigrogularis,129.8
Colinus virginianus,171.9
Colius castanotus,56.6
Colius colius,41.4
Colius leucocephalus,35.8
Colius striatus,51.1
Collocalia affinis,5.9
Collocalia dodgei,6.3
Collocalia esculenta,6.3
Collocalia isonota,5.9
Collocalia linchi,5.9
Collocalia marginata,5.9
Collocalia natalis,5.9
Collocalia neglecta,5.9
Collocalia sumbawae,5.9
Collocalia troglodytes,5.4
Collocalia uropygialis,5.9
Colluricincla affinis,32.3
Colluricincla boweri,43.8
Colluricincla discolor,32.3
Colluricincla fortis,32.3
Colluricincla harmonica,65.8
Colluricincla megarhyncha,32.3
Colluricincla obscura,32.3
Colluricincla rufogaster,32.3
Colluricincla tappenbecki,32.3
Colluricincla tenebrosa,46.0
Colluricincla woodwardi,54.5
Colonia colonus,18.3
Colorhamphus parvirostris,10.6
Columba albinucha,325.0
Columba albitorques,277.0
Columba argentina,330.0
Columba arquatrix,400.0
Columba bollii,308.5
Columba delegorguei,133.0
Columba elphinstonii,379.0
Columba eversmanni,202.0
Columba guinea,352.0
Columba hodgsonii,308.5
Columba iriditorques,125.9
Columba janthina,397.0
Columba junoniae,440.0
Columba larvata,155.0
Columba leucomela,420.0
Columba leuconota,284.0
Columba livia,354.2
Columba malherbii,308.5
Columba oenas,290.8
Columba oliviae,308.5
Columba pallidiceps,459.0
Columba palumboides,520.0
Columba palumbus,490.0
Columba pollenii,308.5
Columba pulchricollis,330.0
Columba punicea,434.4
Columba rupestris,245.4
Columba sjostedti,308.5
Columba thomensis,428.7
Columba torringtoniae,308.5
Columba trocaz,440.0
Columba unicincta,389.1
Columba vitiensis,353.0
Columbina buckleyi,57.5
Columbina cruziana,50.1
Columbina cyanopis,45.6
Columbina inca,47.5
Columbina minuta,32.6
Columbina passerina,35.4
Columbina picui,47.0
Columbina squammata,52.9
Columbina talpacoti,46.0
Compsothraupis loricata,72.5
Conioptilon mcilhennyi,90.0
Conirostrum albifrons,14.9
Conirostrum bicolor,10.5
Conirostrum binghami,25.0
Conirostrum cinereum,8.8
Conirostrum ferrugineiventre,11.5
Conirostrum leucogenys,7.0
Conirostrum margaritae,9.7
Conirostrum rufum,11.0
Conirostrum sitticolor,11.9
Conirostrum speciosum,8.8
Conirostrum tamarugense,10.5
Conopias albovittatus,24.4
Conopias cinchoneti,25.0
Conopias parvus,21.0
Conopias trivirgatus,21.0
Conopophaga ardesiaca,26.3
Conopophaga aurita,26.3
Conopophaga castaneiceps,27.0
Conopophaga cearae,22.0
Conopophaga lineata,25.2
Conopophaga melanogaster,42.5
Conopophaga melanops,20.1
Conopophaga peruviana,23.0
Conopophaga roberti,20.8
Conopophila albogularis,11.8
Conopophila rufogularis,10.8
Conopophila whitei,9.8
Conostoma aemodium,84.0
Conothraupis mesoleuca,15.3
Conothraupis speculigera,25.0
Contopus albogularis,9.6
Contopus caribaeus,10.5
Contopus cinereus,11.6
Contopus cooperi,32.1
Contopus fumigatus,19.9
Contopus hispaniolensis,11.7
Contopus latirostris,11.2
Contopus lugubris,21.5
Contopus nigrescens,9.5
Contopus ochraceus,23.0
Contopus pallidus,9.3
Contopus pertinax,27.2
Contopus sordidulus,13.1
Contopus virens,13.9
Copsychus albiventris,29.2
Copsychus albospecularis,22.7
Copsychus cebuensis,28.5
Copsychus fulicatus,16.6
Copsychus luzoniensis,24.0
Copsychus malabaricus,29.2
Copsychus mindanensis,32.9
Copsychus niger,28.5
Copsychus pyrropygus,40.9
Copsychus saularis,36.0
Copsychus sechellarum,70.7
Copsychus superciliaris,24.0
Coracias abyssinicus,102.0
Coracias affinis,157.5
Coracias benghalensis,157.5
Coracias caudatus,110.0
Coracias cyanogaster,142.0
Coracias garrulus,146.0
Coracias naevius,168.0
Coracias spatulatus,90.4
Coracias temminckii,153.7
Coracina atriceps,139.0
Coracina bicolor,101.0
Coracina boyeri,66.4
Coracina caeruleogrisea,138.2
Coracina caesia,47.3
Coracina caledonica,140.0
Coracina cinerea,47.2
Coracina cucullata,47.2
Coracina dobsoni,111.0
Coracina fortis,138.2
Coracina graueri,47.2
Coracina ingens,63.5
Coracina javensis,94.5
Coracina larvata,94.5
Coracina leucopygia,94.5
Coracina lineata,76.0
Coracina longicauda,101.0
Coracina macei,105.0
Coracina maxima,127.0
Coracina novaehollandiae,118.0
Coracina papuensis,63.5
Coracina pectoralis,54.4
Coracina personata,94.5
Coracina schistacea,94.5
Coracina striata,111.0
Coracina temminckii,101.0
Coracina welchmani,135.0
Coracopsis barklyi,186.2
Coracopsis nigra,186.2
Coracopsis vasa,525.0
Coracornis raveni,36.0
Coracornis sanghirensis,32.3
Coragyps atratus,1881.7
Corapipo altera,11.7
Corapipo gutturalis,8.2
Corapipo leucorrhoa,11.7
Corcorax melanorhamphos,364.0
Cormobates leucophaea,22.0
Cormobates placens,15.8
Corthylio calendula,6.2
Corvus albicollis,894.0
Corvus albus,524.0
Corvus bennetti,389.0
Corvus brachyrhynchos,448.8
Corvus capensis,553.0
Corvus corax,928.0
Corvus cornix,426.5
Corvus corone,570.0
Corvus coronoides,644.3
Corvus crassirostris,1135.0
Corvus cryptoleucus,533.5
Corvus dauuricus,208.0
Corvus edithae,524.0
Corvus enca,251.0
Corvus florensis,175.0
Corvus frugilegus,452.1
Corvus fuscicapillus,635.0
Corvus hawaiiensis,518.8
Corvus imparatus,221.0
Corvus insularis,508.0
Corvus jamaicensis,338.0
Corvus kubaryi,249.9
Corvus leucognaphalus,401.0
Corvus macrorhynchos,513.1
Corvus meeki,467.0
Corvus mellori,540.4
Corvus monedula,246.0
Corvus moneduloides,277.4
Corvus nasicus,401.0
Corvus orru,508.0
Corvus ossifragus,284.6
Corvus palmarum,289.0
Corvus pectoralis,470.5
Corvus rhipidurus,611.0
Corvus ruficollis,573.5
Corvus sinaloae,244.0
Corvus splendens,292.6
Corvus tasmanicus,676.3
Corvus tristis,635.0
Corvus typicus,175.0
Corvus unicolor,175.0
Corvus validus,300.0
Corvus violaceus,251.0
Corvus woodfordi,467.0
Corydon sumatranus,140.0
Coryphaspiza melanotis,15.7
Coryphistera alaudina,30.0
Coryphospingus cucullatus,14.3
Coryphospingus pileatus,15.3
Corythaeola cristata,965.0
Corythaixoides concolor,258.0
Corythaixoides leucogaster,216.2
Corythaixoides personatus,250.0
Corythopis delalandi,15.0
Corythopis torquatus,14.3
Corythornis cristatus,15.7
Corythornis leucogaster,14.5
Corythornis madagascariensis,17.7
Corythornis vintsioides,17.9
Coscoroba coscoroba,4294.8
Cossypha albicapillus,58.5
Cossypha anomala,24.5
Cossypha archeri,22.8
Cossypha caffra,28.5
Cossypha cyanocampter,26.7
Cossypha dichroa,45.8
Cossypha heinrichi,60.3
Cossypha heuglini,34.8
Cossypha humeralis,22.8
Cossypha isabellae,24.0
Cossypha natalensis,34.1
Cossypha niveicapilla,36.7
Cossypha polioptera,18.7
Cossypha semirufa,27.3
Cossyphicula roberti,34.0
Cotinga amabilis,71.5
Cotinga cayana,61.8
Cotinga cotinga,54.0
Cotinga maculata,65.0
Cotinga maynana,69.0
Cotinga nattererii,57.2
Cotinga ridgwayi,57.2
Coturnicops exquisitus,60.9
Coturnicops notatus,30.0
Coturnicops noveboracensis,60.9
Coturnix coromandelica,73.8
Coturnix coturnix,96.3
Coturnix delegorguei,76.0
Coturnix japonica,94.8
Coturnix pectoralis,101.9
Coua caerulea,244.0
Coua coquereli,160.0
Coua cristata,147.0
Coua cursor,110.0
Coua gigas,424.0
Coua reynaudii,153.0
Coua ruficeps,180.0
Coua serriana,293.0
Coua verreauxi,99.0
Cracticus argenteus,88.8
Cracticus cassicus,142.0
Cracticus louisiadensis,142.0
Cracticus mentalis,77.0
Cracticus nigrogularis,128.0
Cracticus quoyi,168.0
Cracticus torquatus,82.9
Cranioleuca albicapilla,21.3
Cranioleuca albiceps,17.6
Cranioleuca antisiensis,16.9
Cranioleuca curtata,17.5
Cranioleuca demissa,15.2
Cranioleuca dissita,15.7
Cranioleuca erythrops,16.9
Cranioleuca gutturata,14.9
Cranioleuca hellmayri,15.0
Cranioleuca henricae,14.9
Cranioleuca marcapatae,19.8
Cranioleuca muelleri,14.5
Cranioleuca obsoleta,13.4
Cranioleuca pallida,11.5
Cranioleuca pyrrhophia,14.9
Cranioleuca semicinerea,15.0
Cranioleuca subcristata,14.7
Cranioleuca vulpecula,18.9
Cranioleuca vulpina,15.7
Crateroscelis murina,15.0
Crateroscelis nigrorufa,15.9
Crateroscelis robusta,18.6
Crax alberti,2499.9
Crax alector,2872.0
Crax blumenbachii,3500.0
Crax daubentoni,2499.9
Crax fasciolata,2600.0
Crax globulosa,2500.0
Crax rubra,4133.0
Creagrus furcatus,687.0
Creatophora cinerea,73.0
Creurgops dentatus,19.0
Creurgops verticalis,24.0
Crex crex,154.9
Crex egregia,119.0
Crinifer piscator,370.0
Crinifer zonurus,527.0
Criniger barbatus,42.6
Criniger calurus,37.7
Criniger chloronotus,45.0
Criniger ndussumensis,23.0
Criniger olivaceus,28.1
Crithagra albogularis,27.1
Crithagra ankoberensis,14.9
Crithagra atrogularis,11.4
Crithagra buchanani,24.0
Crithagra burtoni,30.5
Crithagra canicapilla,16.0
Crithagra capistrata,13.6
Crithagra citrinelloides,13.0
Crithagra citrinipectus,11.2
Crithagra concolor,50.0
Crithagra donaldsoni,24.0
Crithagra dorsostriata,15.1
Crithagra flavigula,11.8
Crithagra flaviventris,16.2
Crithagra frontalis,12.3
Crithagra gularis,16.0
Crithagra hyposticta,13.0
Crithagra koliensis,13.6
Crithagra leucoptera,22.1
Crithagra leucopygia,10.8
Crithagra melanochroa,30.5
Crithagra menachensis,22.4
Crithagra mennelli,15.4
Crithagra mozambica,11.9
Crithagra reichardi,15.4
Crithagra reichenowi,15.4
Crithagra rothschildi,14.0
Crithagra rufobrunnea,25.9
Crithagra scotops,14.2
Crithagra striolata,22.4
Crithagra sulphurata,27.9
Crithagra symonsi,15.8
Crithagra totta,13.4
Crithagra tristriata,15.5
Crithagra whytii,22.4
Crithagra xantholaema,11.8
Crithagra xanthopygia,15.4
Crossleyia xanthophrys,19.9
Crossoptilon auritum,1768.3
Crossoptilon crossoptilon,2075.3
Crossoptilon harmani,2075.3
Crossoptilon mantchuricum,1860.9
Crotophaga ani,110.1
Crotophaga major,148.3
Crotophaga sulcirostris,82.0
Crypsirina cucullata,132.5
Crypsirina temia,129.5
Cryptillas victorini,10.0
Cryptoleucopteryx plumbea,482.0
Cryptopezus nattereri,32.0
Cryptophaps poecilorrhoa,467.0
Cryptopipo holochlora,14.9
Cryptospiza jacksoni,13.0
Cryptospiza reichenovii,12.4
Cryptospiza salvadorii,12.2
Cryptospiza shelleyi,17.6
Cryptosylvicola randrianasoloi,8.6
Crypturellus atrocapillus,453.0
Crypturellus bartletti,241.0
Crypturellus berlepschi,516.8
Crypturellus boucardi,435.6
Crypturellus brevirostris,221.0
Crypturellus casiquiare,250.0
Crypturellus cinereus,506.6
Crypturellus cinnamomeus,422.0
Crypturellus duidae,426.0
Crypturellus erythropus,485.0
Crypturellus kerriae,443.4
Crypturellus noctivagus,562.0
Crypturellus obsoletus,443.4
Crypturellus parvirostris,199.0
Crypturellus ptaritepui,443.4
Crypturellus soui,216.2
Crypturellus strigulosus,430.6
Crypturellus tataupa,218.8
Crypturellus transfasciatus,283.0
Crypturellus undulatus,564.4
Crypturellus variegatus,378.0
Cuculus canorus,111.4
Cuculus clamosus,78.8
Cuculus crassirostris,88.8
Cuculus gularis,103.0
Cuculus lepidus,87.0
Cuculus micropterus,88.8
Cuculus optatus,87.0
Cuculus poliocephalus,46.6
Cuculus rochii,62.7
Cuculus saturatus,87.0
Cuculus solitarius,76.7
Culicicapa ceylonensis,7.7
Culicicapa helianthea,8.4
Culicivora caudacuta,6.1
Curaeus curaeus,83.7
Curruca balearica,9.8
Curruca boehmi,14.0
Curruca buryi,22.0
Curruca cantillans,9.6
Curruca communis,15.1
Curruca conspicillata,9.0
Curruca crassirostris,21.9
Curruca curruca,11.4
Curruca deserti,8.7
Curruca deserticola,8.6
Curruca hortensis,21.9
Curruca iberiae,9.6
Curruca layardi,14.3
Curruca leucomelaena,13.9
Curruca lugens,14.9
Curruca melanocephala,11.7
Curruca melanothorax,11.4
Curruca mystacea,9.9
Curruca nana,8.7
Curruca nisoria,22.5
Curruca ruppeli,12.8
Curruca sarda,9.8
Curruca subalpina,9.6
Curruca subcoerulea,14.6
Curruca undata,10.8
Cursorius coromandelicus,138.0
Cursorius cursor,138.0
Cursorius rufus,75.0
Cursorius somalensis,138.0
Cursorius temminckii,69.2
Cutia legalleni,47.2
Cutia nipalensis,47.2
Cyanerpes caeruleus,12.0
Cyanerpes cyaneus,14.0
Cyanerpes lucidus,11.4
Cyanerpes nitidus,9.0
Cyanicterus cyanicterus,34.0
Cyanistes caeruleus,11.1
Cyanistes cyanus,14.6
Cyanistes teneriffae,10.0
Cyanochen cyanoptera,1520.0
Cyanocitta cristata,88.0
Cyanocitta stelleri,128.0
Cyanocompsa parellina,15.6
Cyanocorax affinis,212.0
Cyanocorax beecheii,193.0
Cyanocorax caeruleus,272.0
Cyanocorax cayanus,175.0
Cyanocorax chrysops,166.0
Cyanocorax cristatellus,178.0
Cyanocorax cyanomelas,207.0
Cyanocorax cyanopogon,146.0
Cyanocorax dickeyi,181.0
Cyanocorax heilprini,172.0
Cyanocorax melanocyaneus,101.0
Cyanocorax mystacalis,154.4
Cyanocorax sanblasianus,109.0
Cyanocorax violaceus,262.0
Cyanocorax yncas,78.5
Cyanocorax yucatanicus,118.0
Cyanoderma ambiguum,10.6
Cyanoderma chrysaeum,9.0
Cyanoderma erythropterum,12.6
Cyanoderma melanothorax,16.0
Cyanoderma pyrrhops,9.6
Cyanoderma ruficeps,10.3
Cyanoderma rufifrons,10.6
Cyanograucalus azureus,46.1
Cyanolanius madagascarinus,22.3
Cyanolimnas cerverai,175.0
Cyanoliseus patagonus,277.9
Cyanoloxia brissonii,27.5
Cyanoloxia cyanoides,32.5
Cyanoloxia glaucocaerulea,18.2
Cyanoloxia rothschildii,32.5
Cyanolyca argentigula,200.0
Cyanolyca armillata,200.0
Cyanolyca cucullata,101.3
Cyanolyca mirabilis,52.4
Cyanolyca nanus,41.0
Cyanolyca pulchra,101.3
Cyanolyca pumilo,47.0
Cyanolyca turcosa,97.5
Cyanolyca viridicyanus,119.8
Cyanomitra alinae,12.6
Cyanomitra bannermani,14.0
Cyanomitra cyanolaema,16.8
Cyanomitra olivacea,9.7
Cyanomitra oritis,11.2
Cyanomitra veroxii,11.5
Cyanomitra verticalis,14.4
Cyanopica cooki,70.4
Cyanopica cyanus,95.9
Cyanopsitta spixii,200.0
Cyanoptila cumatilis,22.5
Cyanoptila cyanomelana,22.5
Cyanoramphus auriceps,45.6
Cyanoramphus cookii,90.2
Cyanoramphus forbesi,88.5
Cyanoramphus hochstetteri,125.0
Cyanoramphus malherbi,46.7
Cyanoramphus novaezelandiae,90.2
Cyanoramphus saisseti,90.2
Cyanoramphus unicolor,149.0
Cyclarhis gujanensis,28.8
Cyclarhis nigrirostris,31.9
Cyclopsitta diophthalma,41.8
Cyclopsitta gulielmitertii,31.0
Cygnus atratus,5623.2
Cygnus buccinator,11071.1
Cygnus columbianus,6378.0
Cygnus cygnus,9350.0
Cygnus melancoryphus,4711.7
Cygnus olor,10682.0
Cymbilaimus lineatus,35.8
Cymbilaimus sanctaemariae,28.7
Cymbirhynchus macrorhynchos,59.4
Cynanthus auriceps,2.6
Cynanthus canivetii,2.6
Cynanthus doubledayi,3.1
Cynanthus forficatus,2.6
Cynanthus latirostris,3.1
Cyornis banyumas,14.5
Cyornis brunneatus,18.1
Cyornis caerulatus,17.8
Cyornis colonus,23.1
Cyornis concretus,24.5
Cyornis glaucicomans,14.2
Cyornis hainanus,14.4
Cyornis herioti,19.6
Cyornis hoevelli,20.5
Cyornis hyacinthinus,25.8
Cyornis lemprieri,21.5
Cyornis magnirostris,14.5
Cyornis montanus,14.5
Cyornis nicobaricus,18.1
Cyornis olivaceus,15.7
Cyornis omissus,18.0
Cyornis oscillans,23.9
Cyornis pallidipes,19.0
Cyornis pelingensis,23.1
Cyornis poliogenys,16.2
Cyornis rubeculoides,14.2
Cyornis ruckii,20.5
Cyornis ruficauda,17.3
Cyornis rufigastra,18.3
Cyornis sanfordi,20.5
Cyornis sumatrensis,16.2
Cyornis superbus,18.0
Cyornis tickelliae,16.2
Cyornis turcosus,16.2
Cyornis umbratilis,18.2
Cyornis unicolor,21.0
Cyornis whitei,14.5
Cyphorhinus arada,20.9
Cyphorhinus phaeocephalus,24.6
Cyphorhinus thoracicus,31.3
Cypseloides cherriei,22.1
Cypseloides cryptus,34.5
Cypseloides fumigatus,42.0
Cypseloides lemosi,28.1
Cypseloides niger,39.7
Cypseloides rothschildi,42.0
Cypseloides senex,82.3
Cypseloides storeri,39.5
Cypsiurus balasiensis,9.1
Cypsiurus gracilis,13.6
Cypsiurus parvus,13.6
Cypsnagra hirundinacea,31.4
Cyrtonyx montezumae,185.4
Cyrtonyx ocellatus,199.2
Dacelo gaudichaud,143.0
Dacelo leachii,308.0
Dacelo novaeguineae,333.8
Dacelo tyro,145.9
Dacnis albiventris,11.2
Dacnis berlepschi,12.8
Dacnis cayana,13.0
Dacnis flaviventer,13.0
Dacnis hartlaubi,11.0
Dacnis lineata,11.0
Dacnis nigripes,14.0
Dacnis venusta,16.1
Dacnis viguieri,13.0
Dactylortyx thoracicus,201.8
Daphoenositta chrysoptera,11.7
Daphoenositta miranda,16.8
Daphoenositta papuensis,11.7
Daption capense,429.6
Daptrius ater,351.8
Dasycrotapha plateni,8.7
Dasycrotapha pygmaea,8.7
Dasycrotapha speciosa,16.4
Dasylophus cumingi,170.5
Dasylophus superciliosus,123.0
Dasyornis brachypterus,41.8
Dasyornis broadbenti,67.9
Dasyornis longirostris,32.7
Deconychura longicauda,23.8
Delacourella capistrata,11.6
Deleornis axillaris,11.3
Deleornis fraseri,11.3
Delichon dasypus,18.0
Delichon nipalense,15.0
Delichon urbicum,14.5
Dendragapus fuliginosus,1047.3
Dendragapus obscurus,1047.3
Dendrexetastes rufigula,69.6
Dendrocincla anabatina,34.2
Dendrocincla fuliginosa,38.7
Dendrocincla homochroa,39.4
Dendrocincla merula,50.0
Dendrocincla turdina,39.0
Dendrocincla tyrannina,54.9
Dendrocitta bayleii,102.0
Dendrocitta cinerascens,125.0
Dendrocitta formosae,102.7
Dendrocitta frontalis,100.0
Dendrocitta leucogastra,99.2
Dendrocitta occipitalis,95.3
Dendrocitta vagabunda,100.0
Dendrocolaptes certhia,68.7
Dendrocolaptes hoffmannsi,83.0
Dendrocolaptes picumnus,76.6
Dendrocolaptes platyrostris,61.7
Dendrocolaptes sanctithomae,66.9
Dendrocopos analis,44.9
Dendrocopos assimilis,51.8
Dendrocopos atratus,46.7
Dendrocopos darjellensis,70.7
Dendrocopos himalayensis,67.7
Dendrocopos hyperythrus,46.5
Dendrocopos leucopterus,67.0
Dendrocopos leucotos,116.8
Dendrocopos macei,44.9
Dendrocopos major,74.9
Dendrocopos noguchii,200.0
Dendrocopos syriacus,76.7
Dendrocoptes auriceps,39.9
Dendrocoptes dorae,19.5
Dendrocoptes medius,59.0
Dendrocygna arborea,1150.0
Dendrocygna arcuata,796.2
Dendrocygna autumnalis,755.3
Dendrocygna bicolor,756.4
Dendrocygna eytoni,790.0
Dendrocygna guttata,800.0
Dendrocygna javanica,519.6
Dendrocygna viduata,690.0
Dendroma erythroptera,30.0
Dendroma rufa,25.0
Dendronanthus indicus,16.4
Dendroplex kienerii,45.0
Dendroplex picus,41.3
Dendrortyx barbatus,432.0
Dendrortyx leucophrys,367.4
Dendrortyx macroura,431.0
Deroptyus accipitrinus,246.0
Dicaeum aeneum,9.2
Dicaeum agile,9.0
Dicaeum annae,10.0
Dicaeum anthonyi,11.6
Dicaeum aureolimbatum,8.1
Dicaeum australe,8.7
Dicaeum bicolor,9.1
Dicaeum celebicum,6.5
Dicaeum chrysorrheum,9.0
Dicaeum concolor,6.2
Dicaeum cruentatum,5.6
Dicaeum dayakorum,8.1
Dicaeum erythrorhynchos,6.3
Dicaeum erythrothorax,8.9
Dicaeum everetti,8.5
Dicaeum eximium,7.9
Dicaeum geelvinkianum,6.8
Dicaeum haematostictum,8.8
Dicaeum hirundinaceum,9.0
Dicaeum hypoleucum,8.0
Dicaeum igniferum,8.5
Dicaeum ignipectus,5.7
Dicaeum maugei,8.5
Dicaeum melanozanthum,8.5
Dicaeum minullum,6.2
Dicaeum monticolum,8.5
Dicaeum nehrkorni,8.5
Dicaeum nigrilore,11.0
Dicaeum nitidum,8.5
Dicaeum pectorale,7.6
Dicaeum proprium,10.2
Dicaeum pygmaeum,5.0
Dicaeum quadricolor,8.5
Dicaeum retrocinctum,6.5
Dicaeum sanguinolentum,8.5
Dicaeum schistaceiceps,8.9
Dicaeum trigonostigma,7.1
Dicaeum tristrami,11.7
Dicaeum trochileum,8.5
Dicaeum vincens,8.5
Dicaeum virescens,6.2
Dicaeum vulneratum,8.9
Dichrozona cincta,16.0
Dicrurus adsimilis,40.3
Dicrurus aeneus,26.0
Dicrurus aldabranus,48.4
Dicrurus andamanensis,50.5
Dicrurus annectens,44.0
Dicrurus atactus,45.6
Dicrurus atripennis,38.9
Dicrurus balicassius,72.3
Dicrurus bracteatus,85.5
Dicrurus caerulescens,40.0
Dicrurus densus,85.5
Dicrurus divaricatus,40.3
Dicrurus forficatus,47.1
Dicrurus fuscipennis,50.5
Dicrurus hottentottus,79.2
Dicrurus leucophaeus,37.6
Dicrurus lophorinus,70.0
Dicrurus ludwigii,29.4
Dicrurus macrocercus,48.3
Dicrurus megarhynchus,130.0
Dicrurus menagei,79.2
Dicrurus modestus,45.6
Dicrurus montanus,61.0
Dicrurus occidentalis,29.4
Dicrurus paradiseus,85.8
Dicrurus remifer,43.1
Dicrurus sharpei,29.4
Dicrurus sumatranus,50.5
Dicrurus waldenii,50.5
Didunculus strigirostris,400.0
Diglossa albilatera,9.8
Diglossa baritula,9.2
Diglossa brunneiventris,12.0
Diglossa caerulescens,14.4
Diglossa carbonaria,11.0
Diglossa cyanea,17.0
Diglossa duidae,14.8
Diglossa glauca,12.0
Diglossa gloriosa,11.0
Diglossa gloriosissima,14.0
Diglossa humeralis,13.1
Diglossa indigotica,13.7
Diglossa lafresnayii,16.0
Diglossa major,22.2
Diglossa mystacalis,16.2
Diglossa plumbea,10.0
Diglossa sittoides,9.0
Diglossa venezuelensis,12.6
Dinemellia dinemelli,63.9
Dinopium benghalense,100.0
Dinopium everetti,93.8
Dinopium javanense,72.8
Dinopium psarodes,97.0
Dinopium rafflesii,102.0
Dinopium shorii,101.0
Diomedea epomophora,8905.6
Diomedea exulans,6961.3
Diopsittaca nobilis,150.9
Discosura conversii,3.0
Discosura langsdorffi,2.8
Discosura letitiae,2.8
Discosura longicaudus,3.4
Discosura popelairii,2.5
Diuca diuca,36.8
Dives dives,91.3
Dives warczewiczi,73.3
Dolichonyx oryzivorus,31.5
Doliornis remseni,63.1
Doliornis sclateri,60.2
Donacobius atricapilla,36.8
Donacospiza albifrons,16.5
Doricha eliza,2.5
Doricha enicura,2.4
Doryfera johannae,4.8
Doryfera ludovicae,6.0
Drepanis coccinea,18.2
Drepanoptila holosericea,215.0
Drepanorhynchus reichenowi,14.7
Drepanornis albertisi,110.0
Drepanornis bruijnii,153.3
Dreptes thomensis,26.2
Dromaius novaehollandiae,34093.3
Dromas ardeola,325.0
Dromococcyx pavoninus,46.4
